127.0.0.1 - - [22/Mar/2015:11:32:42 +0000] "GET / HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.89 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:21:57 +0100] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:22:00 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 500 18135 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 200 116 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 500 238 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:01 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck/ HTTP/1.1" 200 158 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck/ HTTP/1.1" 200 119 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "GET /healthcheck/ HTTP/1.1" 200 91 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:02 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 500 18135 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 116 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 500 238 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 158 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 119 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "GET /healthcheck/ HTTP/1.1" 200 91 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:22:21 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:23:08 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:23:08 +0100] "GET /healthcheck/ HTTP/1.1" 500 18135 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:23:09 +0100] "GET /favicon.ico HTTP/1.1" 404 0 "https://authenticator-frontend.develop.alphadwp.co.uk/healthcheck/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:23:24 +0100] "GET /healthcheck?pretty=true HTTP/1.1" 301 184 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:23:24 +0100] "GET /healthcheck/?pretty=true HTTP/1.1" 500 18579 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:26:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:22 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:22 +0100] "GET /healthcheck/ HTTP/1.1" 500 18135 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 116 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 500 238 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 500 437 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 158 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 119 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 91 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:24 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:24 +0100] "HEAD / HTTP/1.1" 500 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:44 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:26:44 +0100] "GET /healthcheck/ HTTP/1.1" 500 18135 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:58 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "GET /healthcheck/ HTTP/1.1" 502 172 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "HEAD / HTTP/1.1" 502 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:26:59 +0100] "HEAD / HTTP/1.1" 502 0 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:17 +0100] "GET /ping HTTP/1.1" 301 184 "-" "Java/1.8.0_05"
127.0.0.1 - - [19/May/2015:13:27:17 +0100] "GET /ping/ HTTP/1.1" 200 5 "-" "Java/1.8.0_05"
127.0.0.1 - - [19/May/2015:13:27:17 +0100] "GET /healthcheck/ HTTP/1.1" 200 135 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 285 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /ping HTTP/1.1" 301 184 "-" "Java/1.8.0_05"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /ping/ HTTP/1.1" 200 5 "-" "Java/1.8.0_05"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 135 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 116 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck/ HTTP/1.1" 200 138 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:22 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 285 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 114 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 158 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 119 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck HTTP/1.1" 301 184 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /healthcheck/ HTTP/1.1" 200 91 "-" "curl/7.37.1"
127.0.0.1 - - [19/May/2015:13:27:23 +0100] "GET /policies?url=http://coa.develop.alphadwp.co.uk/ HTTP/1.1" 200 206 "-" "Java/1.8.0_05"
127.0.0.1 - - [19/May/2015:13:27:24 +0100] "PUT /session/ HTTP/1.1" 201 59 "-" "Java/1.8.0_05"
